ArtID;NavnDansk;LatArt
7483;sten-vandrademos;Octodiceras fontanum
7484;grusmosslægten;Oligotrichum
7485;atlantisk grusmos;Oligotrichum hercynicum
7486;smudsmosslægten;Oreoweisia
7487;klippe-smudsmos;Oreoweisia bruntonii
7488;tyndvingeslægten;Orthodicranum
7489;mangegrenet tyndvinge;Orthodicranum flagellare
7490;mørk tyndvinge;Orthodicranum fulvum
7491;tæt tyndvinge;Orthodicranum montanum
7492;bornholmsk tyndvinge;Orthodicranum scottianum
7493;skør tyndvinge;Orthodicranum tauricum
7494;plydsmosslægten;Orthodontium
7495;smalbladet plydsmos;Orthodontium lineare
7496;furehættefamilien;Orthotrichaceae
7497;furehætteslægten;Orthotrichum
7498;almindelig furehætte;Orthotrichum affine var. affine
7499;;Orthotrichum affine var. fastigiatum
7500;mørk furehætte;Orthotrichum anomalum
7501;skål-furehætte;Orthotrichum cupulatum
7502;hårspidset furehætte;Orthotrichum diaphanum
7503;tandløs furehætte;Orthotrichum gymnostomum
7504;stor furehætte;Orthotrichum lyellii
7505;butbladet furehætte;Orthotrichum obtusifolium
7506;smuk furehætte;Orthotrichum pulchellum
7507;dværg-furehætte;Orthotrichum pumilum
7508;rogers furehætte;Orthotrichum rogeri
7509;sten-furehætte;Orthotrichum rupestre
7510;nordisk furehætte;Orthotrichum scanicum
7511;kortstribet furehætte;Orthotrichum speciosum
7512;strågul furehætte;Orthotrichum stramineum
7513;glatkapslet furehætte;Orthotrichum striatum
7514;lille furehætte;Orthotrichum tenellum
7515;vortetandslægten;Oxyrrhynchium
7516;forskelligbladet vortetand;Oxyrrhynchium praelongum
7517;spæd vortetand;Oxyrrhynchium pumilum
7518;vredet vortetand;Oxyrrhynchium schleicheri
7519;stor vortetand;Oxyrrhynchium speciosum
7520;ler-vortetand;Oxyrrhynchium swartzii
7521;;Oxystegus
7522;langbladet hårmund;Oxystegus tenuirostris
7523;piberensermosslægten;Paludella
7524;almindelig piberensermos;Paludella squarrosa
7525;vældmosslægten;Palustriella
7526;bredbladet vældmos;Palustriella commutata
7527;fågrenet vældmos;Palustriella falcata
7528;ribbemosslægten;Paraleucobryum
7529;skov-ribbemos;Paraleucobryum longifolium
7530;dværgmosslægten;Phascum
7531;tilspidset dværgmos;Phascum cuspidatum
7532;vandtuemosslægten;Philonotis
7533;arnells vandtuemos;Philonotis arnellii
7534;fladbladet vandtuemos;Philonotis caespitosa
7535;kalk-vandtuemos;Philonotis calcarea
7536;kilde-vandtuemos;Philonotis fontana
7537;spæd vandtuemos;Philonotis marchica
7538;ligesidet vandtuemos;Philonotis tomentella
7539;muddermosslægten;Physcomitrella
7540;bulet muddermos;Physcomitrella patens
7541;pærekapselslægten;Physcomitrium
7542;kort pærekapsel;Physcomitrium eurystomum
7543;almindelig pærekapsel;Physcomitrium pyriforme
